Id,Speed (km/h),Position,Distance
3.0,10.8,84.0,3.0
16.0,43.2,68.0,12.0
26.0,7.2,109.0,2.0
1.0,3.6,95.0,1.0
21.0,10.8,76.0,3.0
29.0,32.4,77.0,9.0
3.0,7.2,83.0,2.0
16.0,39.6,68.0,11.0
26.0,3.6,110.0,1.0
1.0,0.0,95.0,0.0
21.0,3.6,76.0,1.0
29.0,28.8,76.0,8.0
3.0,7.2,84.0,2.0
16.0,36.0,67.0,10.0
26.0,7.2,111.0,2.0
1.0,14.4,95.0,4.0
21.0,7.2,73.0,2.0
29.0,36.0,75.0,10.0
3.0,0.0,84.0,0.0
16.0,28.8,66.0,8.0
26.0,10.8,112.0,3.0
1.0,18.0,96.0,5.0
21.0,7.2,73.0,2.0
29.0,32.4,75.0,9.0
3.0,3.6,84.0,1.0
16.0,32.4,66.0,9.0
26.0,10.8,112.0,3.0
1.0,46.800000000000004,101.0,13.0
21.0,3.6,73.0,1.0
29.0,32.4,76.0,9.0
3.0,7.2,83.0,2.0
16.0,28.8,65.0,8.0
26.0,14.4,113.0,4.0
1.0,57.6,105.0,16.0
21.0,3.6,71.0,1.0
29.0,32.4,75.0,9.0
3.0,3.6,84.0,1.0
16.0,39.6,65.0,11.0
26.0,10.8,113.0,3.0
1.0,54.0,106.0,15.0
21.0,3.6,72.0,1.0
29.0,21.6,78.0,6.0
3.0,7.2,83.0,2.0
26.0,10.8,113.0,3.0
1.0,61.2,106.0,17.0
21.0,7.2,72.0,2.0
29.0,36.0,79.0,10.0
3.0,10.8,82.0,3.0
26.0,10.8,113.0,3.0
1.0,64.8,106.0,18.0
21.0,10.8,73.0,3.0
29.0,25.2,79.0,7.0
16.0,32.4,65.0,9.0
3.0,14.4,81.0,4.0
26.0,10.8,113.0,3.0
1.0,57.6,105.0,16.0
21.0,14.4,74.0,4.0
29.0,18.0,80.0,5.0
3.0,18.0,80.0,5.0
26.0,7.2,113.0,2.0
1.0,43.2,101.0,12.0
21.0,7.2,72.0,2.0
29.0,14.4,80.0,4.0
3.0,21.6,79.0,6.0
26.0,7.2,113.0,2.0
1.0,50.4,103.0,14.0
21.0,7.2,72.0,2.0
29.0,10.8,80.0,3.0
3.0,18.0,80.0,5.0
26.0,3.6,113.0,1.0
1.0,64.8,106.0,18.0
21.0,10.8,72.0,3.0
29.0,7.2,80.0,2.0
16.0,28.8,65.0,8.0
3.0,14.4,81.0,4.0
26.0,7.2,113.0,2.0
1.0,68.4,108.0,19.0
21.0,7.2,71.0,2.0
29.0,7.2,81.0,2.0
3.0,10.8,82.0,3.0
26.0,14.4,114.0,4.0
1.0,72.0,109.0,20.0
21.0,3.6,72.0,1.0
29.0,10.8,81.0,3.0
16.0,28.8,65.0,8.0
3.0,10.8,82.0,3.0
26.0,21.6,115.0,6.0
1.0,46.800000000000004,102.0,13.0
21.0,39.6,72.0,11.0
29.0,7.2,81.0,2.0
16.0,18.0,68.0,5.0
